date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,8.44,8.57,8.46,8.4,32282.08,-0.03,-0.35,8.348,8.288,8.422,35483.6,30082.07,31682.31
2018-09-19,8.49,8.57,8.49,8.39,50074.56,0.0,0.0,8.294,8.271,8.437,32413.98,29221.38,31955.3
2018-09-18,8.07,8.68,8.49,8.03,45971.78,0.43,5.33,8.22,8.251,8.447,25950.64,27325.45,31350.73
2018-09-17,8.19,8.26,8.06,8.0,20484.57,-0.18,-2.18,8.142,8.254,8.471,22612.14,26336.47,31552.42
2018-09-14,8.2,8.37,8.24,8.19,28604.99,0.05,0.61,8.182,8.284,8.507,23563.78,28299.02,33361.79
2018-09-13,8.28,8.28,8.19,8.11,16934.0,0.07,0.86,8.228,8.316,8.538,24680.54,28289.31,35740.06
2018-09-12,8.09,8.27,8.12,8.06,17757.86,0.02,0.25,8.248,8.342,8.589,26028.78,29655.95,39307.39
2018-09-11,8.27,8.32,8.1,8.04,29279.29,-0.16,-1.94,8.282,8.391,8.651,28700.26,32647.76,46197.82
2018-09-10,8.47,8.47,8.26,8.26,25242.75,-0.21,-2.48,8.366,8.466,8.715,30060.8,32959.92,50109.06
2018-09-07,8.35,8.49,8.47,8.29,34188.79,0.18,2.17,8.386,8.529,8.758,33034.25,33817.36,51683.85
2018-09-06,8.24,8.39,8.29,8.24,23675.22,0.0,0.0,8.404,8.556,8.792,31898.07,33282.55,52692.79
2018-09-05,8.45,8.57,8.29,8.27,31115.25,-0.23,-2.7,8.436,8.603,8.835,33283.12,34689.21,56130.09
2018-09-04,8.36,8.56,8.52,8.34,36081.97,0.16,1.91,8.5,8.642,8.875,36595.25,35376.02,60949.58
2018-09-03,8.55,8.58,8.36,8.23,40110.03,-0.2,-2.34,8.566,8.687,8.924,35859.04,36768.37,70796.02
2018-08-31,8.41,8.61,8.56,8.41,28507.9,0.11,1.3,8.672,8.729,8.969,34600.46,38424.57,79773.29
2018-08-30,8.61,8.66,8.45,8.43,30600.43,-0.16,-1.86,8.708,8.76,8.966,34667.02,43190.81,81782.41
2018-08-29,8.79,8.89,8.61,8.55,47675.93,-0.24,-2.71,8.77,8.835,8.987,36095.3,48958.83,84867.52
2018-08-28,8.93,8.98,8.85,8.78,32400.91,-0.04,-0.45,8.784,8.911,9.0,34156.78,59747.89,85483.06
2018-08-27,8.74,8.95,8.89,8.7,33817.13,0.15,1.72,8.808,8.963,9.007,37677.7,67258.2,87927.5
2018-08-24,8.76,8.83,8.74,8.68,28840.69,-0.02,-0.23,8.786,8.986,9.026,42248.68,69550.35,90142.3
2018-08-23,8.69,8.83,8.76,8.64,37741.86,0.08,0.92,8.812,9.028,9.05,51714.6,72103.03,94082.02
2018-08-22,8.95,8.95,8.68,8.61,37983.31,-0.29,-3.23,8.9,9.066,9.069,61822.36,77570.96,98104.18
2018-08-21,8.72,9.04,8.97,8.72,50005.5,0.19,2.16,9.038,9.107,9.074,85339.0,86523.15,101148.83
2018-08-20,8.83,8.95,8.78,8.51,56672.05,-0.09,-1.01,9.118,9.16,9.074,96838.71,104823.66,106452.58
2018-08-17,9.25,9.32,8.87,8.85,76170.28,-0.33,-3.59,9.186,9.209,9.055,96852.01,121122.02,108288.35
2018-08-16,9.05,9.48,9.2,8.96,88280.65,-0.17,-1.81,9.244,9.172,9.017,92491.46,120374.0,107526.32
2018-08-15,9.5,9.83,9.37,9.37,155566.52,0.0,0.0,9.232,9.138,8.959,93319.56,120776.21,106437.49
2018-08-14,9.1,9.5,9.37,9.03,107504.05,0.25,2.74,9.176,9.089,8.893,87707.3,111218.23,103437.57
2018-08-13,8.91,9.22,9.12,8.9,56738.56,-0.04,-0.44,9.202,9.05,8.843,112808.61,108596.8,106728.72
2018-08-10,9.05,9.22,9.16,9.01,54367.53,0.02,0.22,9.232,9.066,8.798,145392.02,110734.26,108948.72
2018-08-09,8.96,9.3,9.14,8.96,92421.16,0.05,0.55,9.1,9.071,8.714,148256.54,116061.01,107486.6
2018-08-08,9.3,9.45,9.09,9.09,127505.22,-0.41,-4.32,9.044,9.071,8.633,148232.86,118637.39,104458.74
2018-08-07,9.26,9.5,9.5,8.71,233010.59,0.23,2.48,9.002,9.04,8.546,134729.16,115774.51,100145.17
2018-08-06,8.68,9.35,9.27,8.55,219655.59,0.77,9.06,8.898,8.988,8.453,104384.99,108081.51,90858.68
2018-08-03,8.8,9.1,8.5,8.46,68690.14,-0.36,-4.06,8.9,8.9,8.361,76076.5,95454.69,81949.31
2018-08-02,8.85,8.99,8.86,8.53,92302.78,-0.02,-0.23,9.042,8.861,8.301,83865.47,94678.63,80654.07
2018-08-01,8.98,9.24,8.88,8.87,59986.7,-0.1,-1.11,9.098,8.779,8.216,89041.92,92098.77,78707.34
2018-07-31,9.38,9.38,8.98,8.83,81289.75,-0.3,-3.23,9.078,8.696,8.157,96819.86,95656.92,77691.57
2018-07-30,9.12,9.5,9.28,9.12,78113.13,0.07,0.76,9.078,8.635,8.107,111778.02,104860.64,76718.17
2018-07-27,9.03,9.57,9.21,8.95,107635.01,0.07,0.77,8.9,8.53,8.023,114832.88,107163.19,75243.68
2018-07-26,8.77,9.27,9.14,8.71,118185.0,0.36,4.1,8.68,8.357,7.945,105491.79,98912.19,72159.37
2018-07-25,8.85,9.1,8.78,8.72,98876.41,-0.2,-2.23,8.46,8.195,7.86,95155.62,90280.09,68219.56
2018-07-24,8.45,8.98,8.98,8.39,156080.55,0.59,7.03,8.314,8.052,7.791,94493.97,84515.83,65431.52
2018-07-23,8.1,8.48,8.39,8.02,93387.41,0.28,3.45,8.192,7.917,7.708,97943.25,73635.85,60081.7
2018-07-20,8.03,8.18,8.11,7.88,60929.57,0.07,0.87,8.16,7.821,7.65,99493.5,68443.94,57452.67
2018-07-19,8.02,8.18,8.04,7.94,66504.14,-0.01,-0.12,8.034,7.74,7.606,92332.59,66629.5,57458.86
2018-07-18,8.3,8.32,8.05,8.05,95568.2,-0.32,-3.82,7.93,7.652,7.542,85404.56,65315.91,56128.47
2018-07-17,8.5,8.59,8.37,8.23,173326.95,0.14,1.7,7.79,7.617,7.497,74537.68,59726.21,54029.85
2018-07-16,7.76,8.23,8.23,7.76,101138.65,0.75,10.03,7.642,7.578,7.435,49328.44,48575.7,48355.05
2018-07-13,7.52,7.58,7.48,7.41,25125.0,-0.04,-0.53,7.482,7.515,7.419,37394.38,43324.18,44634.32
2018-07-12,7.41,7.58,7.52,7.41,31864.02,0.17,2.31,7.446,7.533,7.437,40926.41,45406.56,45093.23
2018-07-11,7.57,7.57,7.35,7.2,41233.8,-0.28,-3.67,7.374,7.525,7.456,45227.26,46159.03,45344.21
2018-07-10,7.49,7.67,7.63,7.47,47280.72,0.2,2.69,7.444,7.53,7.501,44914.74,46347.21,44455.98
2018-07-09,7.5,7.65,7.43,7.4,41468.35,0.13,1.78,7.514,7.499,7.53,47822.96,46527.56,43428.86
2018-07-06,7.11,7.38,7.3,7.11,42785.17,0.14,1.96,7.548,7.478,7.579,49253.98,46461.41,42804.35
2018-07-05,7.76,7.76,7.16,7.15,53368.26,-0.54,-7.01,7.62,7.471,7.648,49886.7,48288.21,42092.77
2018-07-04,7.9,7.92,7.7,7.69,39671.21,-0.28,-3.51,7.676,7.432,7.723,47090.8,46941.04,40519.35
2018-07-03,7.62,8.0,7.98,7.62,61821.81,0.38,5.0,7.616,7.377,7.774,47779.68,48333.49,40097.55
2018-07-02,7.67,7.94,7.6,7.51,48623.44,-0.06,-0.78,7.484,7.291,7.809,45232.16,48134.39,39006.71
2018-06-29,7.4,7.75,7.66,7.4,45948.78,0.22,2.96,7.408,7.322,7.88,43668.83,45944.46,38449.74
2018-06-28,7.4,7.57,7.44,7.38,39388.78,0.04,0.54,7.322,7.34,8.212,46689.73,44779.91,36956.1
2018-06-27,7.37,7.49,7.4,7.32,43115.59,0.08,1.09,7.188,7.387,8.545,46791.27,44529.38,36131.15
