date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-20,5.52,5.59,5.45,5.42,76505.0,-0.13,-2.33,5.462,5.399,5.499,48692.78,40552.27,65746.3
2018-09-19,5.48,5.67,5.58,5.46,86511.14,0.05,0.9,5.452,5.395,5.511,41029.72,36935.82,64927.49
2018-09-18,5.35,5.55,5.53,5.32,41363.0,0.18,3.36,5.402,5.385,5.517,32574.67,35317.14,63140.99
2018-09-17,5.36,5.4,5.35,5.31,12404.73,-0.05,-0.93,5.352,5.398,5.525,27994.42,36853.06,64371.96
2018-09-14,5.41,5.42,5.4,5.35,26680.01,0.0,0.0,5.338,5.437,5.538,31606.87,52729.8,67574.96
2018-09-13,5.36,5.43,5.4,5.27,38189.72,0.07,1.31,5.336,5.461,5.551,32411.76,67199.88,71308.96
2018-09-12,5.21,5.44,5.33,5.12,44235.91,0.05,0.95,5.338,5.501,5.582,32841.93,80901.94,71982.37
2018-09-11,5.29,5.31,5.28,5.2,18461.73,0.0,0.0,5.368,5.515,5.624,38059.6,82435.38,74022.39
2018-09-10,5.39,5.44,5.28,5.27,30467.0,-0.11,-2.04,5.444,5.545,5.669,45711.7,88610.89,76655.57
2018-09-07,5.42,5.52,5.39,5.33,30704.45,-0.02,-0.37,5.536,5.58,5.714,73852.72,89873.34,80897.94
2018-09-06,5.48,5.59,5.41,5.41,40340.55,-0.07,-1.28,5.586,5.598,5.764,101987.99,90940.33,91981.89
2018-09-05,5.65,5.68,5.48,5.45,70324.25,-0.18,-3.18,5.664,5.627,5.813,128961.95,92919.15,100663.09
2018-09-04,5.73,5.77,5.66,5.61,56722.24,-0.08,-1.39,5.662,5.649,5.864,126811.16,90964.85,103793.74
2018-09-03,5.57,5.85,5.74,5.37,171172.09,0.1,1.77,5.646,5.652,5.904,131510.09,91890.85,111873.66
2018-08-31,5.68,5.79,5.64,5.22,171380.84,-0.16,-2.76,5.624,5.638,5.918,105893.97,82420.13,110184.47
2018-08-30,5.53,5.85,5.8,5.45,175210.31,0.33,6.03,5.61,5.64,5.96,79892.67,75418.04,107891.55
